code,name,limit_pct,launch_date,end_date,run_length,max_obs_days,total_shares,pre_ret20,pre_vol,pre_amp,vol_ratio_l5_f10,vol_min_ratio,max_dd,gap_ups,ma_align,dist_from_high,last3_ret,last_day_vol_ratio,exch_avg,launch_price,launch_mcap_yi,ma5,ma10,ma20
sz000078,ST海王,0.05,2026-07-01,2026-07-08,6,6,2631123257.0,-0.3027027027027027,0.03258919031410326,0.4311454311454311,0.7104005691152122,0.29230413660061716,0.3027027027027027,1,0,-0.33505154639175255,-0.058394160583941646,0.8694849044387557,3.4445,1.35,35.520163969500004,1.366,1.437,1.554
sh603137,恒尚节能,0.1,2026-06-15,2026-07-09,8,7,182933334.0,-0.1509025270758123,0.019180733885441104,0.2154186064862306,0.6839693059609954,0.5863423163011501,0.16678700361010834,0,0,-0.15577889447236182,0.007712082262210762,1.0196033853257442,1.0095,12.94,23.6715734196,11.656,11.962,12.673
sh600793,宜宾纸业,0.1,2026-07-01,2026-07-07,5,5,176904002.0,-0.14741318214032606,0.036504712041212604,0.25631274718588387,1.6624974758594853,0.5388250835897778,0.16725726435152372,0,0,-0.18716216216216225,-0.014742014742014864,0.7658615763521575,2.7600000000000002,13.23,23.4043994646,12.144,12.64,13.148
sh600664,哈药股份,0.1,2026-07-10,2026-07-16,5,5,2518509876.0,-0.009708737864077555,0.024027016045050156,0.1423257318453825,1.0737544499350509,0.6078104470644028,0.0815047021943573,0,0,-0.06707317073170725,-0.037735849056603765,0.8204985206424706,1.855,3.37,84.8737828212,3.1079999999999997,3.0740000000000003,3.0915
sz001258,立新能源,0.1,2026-07-16,2026-07-23,6,6,933333334.0,-0.10588235294117654,0.02215966948603713,0.21522347370686565,0.7589348570638819,0.5622522292931941,0.1516339869281046,0,0,-0.13087674714104197,0.0239520958083832,1.3853488629711843,1.7710000000000001,7.52,70.18666671679999,6.614,6.742,6.969499999999999
sz002879,长缆科技,0.1,2026-07-21,2026-07-27,5,5,193107640.0,-0.14375000000000004,0.02374422278035582,0.21721854304635754,0.9853909617733845,0.7108843059621972,0.14375000000000002,0,0,-0.178,-0.04195804195804187,1.096658191574541,3.6340000000000003,13.56,26.185395984,12.692,12.819999999999999,13.2125
sh603221,爱丽家居,0.1,2026-07-21,2026-08-06,10,9,242270000.0,-0.1640350877192983,0.04220378365125006,0.2926471262786112,0.940951224637512,0.470843401000742,0.20715474209650586,1,0,-0.2412420382165606,-0.1625659050966609,1.053201676781898,1.6275,10.49,25.414123,10.796,11.293000000000001,10.9005
sz003032,传智教育,0.1,2026-07-27,2026-08-05,8,8,402447500.0,0.060077519379844846,0.02839671363812715,0.19158527422990243,1.172809792805713,0.5603089063161288,0.0794824399260628,2,1,-0.07445008460236893,0.009225092250922495,0.5747693552023968,5.5115,6.02,24.2273395,5.482,5.4079999999999995,5.324
sh605179,一鸣食品,0.1,2026-07-28,2026-08-03,5,5,401000000.0,0.05250596658711215,0.03721752272793496,0.25889247431475093,3.81409457639492,0.3028248705874757,0.1719745222929936,0,0,-0.17105263157894737,-0.07804878048780484,0.8580270664778591,1.4285,14.55,58.3455,13.746,13.959,13.480500000000001
sz002827,高争民爆,0.1,2026-07-29,2026-08-04,5,5,277046000.0,0.06516393442622959,0.033626884753295755,0.16589442329968565,1.4432516327487153,0.597884187346369,0.08815204205418518,0,1,-0.008393742846241984,0.021218074656188524,1.9914618449715673,1.5290000000000001,28.59,79.2074514,24.907999999999998,24.678,24.172
sz002963,豪尔赛,0.1,2026-07-31,2026-08-06,5,5,150359930.0,-0.4303317535545025,0.04498412006820204,0.6345113822160735,1.0127646097377514,0.5439190057150652,0.4303317535545024,0,0,-0.44811753902663,-0.12134502923976609,1.0090797867769459,4.5885,13.22,19.877582746,12.95,13.224,15.902000000000001
sh600721,百花医药,0.1,2026-08-04,2026-08-12,7,7,384547635.0,0.05882352941176472,0.04849684787131561,0.2761172786791916,0.7705879849907324,0.2790264683986378,0.20577617328519865,0,0,-0.13461538461538464,0.019830028328611915,0.6514823602425838,5.564500000000001,7.92,30.456172692,7.042,6.9430000000000005,7.026000000000001
sz002552,宝鼎科技,0.1,2026-08-04,2026-08-10,5,5,387985331.0,-0.42571983748454345,0.06657292214076192,0.8461712366372768,0.8758204299924227,0.5216244044312656,0.5063526495196777,3,0,-0.5420481757994083,-0.07668276057938095,1.2986404705450194,5.1579999999999995,35.76,138.7435543656,34.236000000000004,37.352999999999994,46.4445
sh600272,开开实业,0.1,2026-08-06,2026-08-12,5,5,262651945.0,0.01804368471035156,0.02427608535233583,0.16662766206412366,0.6251902195403098,0.6411452922220853,0.13459879206212255,0,0,-0.08610400682011933,0.02387774594078329,0.7770284151273427,2.1295,11.79,30.966664315499997,10.614,10.449,10.682500000000001
